丂乗乗搒撪朸強丅=　――都内某处。
廐恖乽妛惗夛挿偱僥僯僗晹偺晹挿乧丠丂偁偁丄偳偆傝偱乧乧丅偆傫丄偦偆偩偦偆偩丄妛惗夛挿慖嫇偺億僗僞乕偲偐偱尒偨婄偩乿=秋人「学生会长兼网球部部长……？啊，难怪……对了对了，是在学生会长选举的海报上见过的脸」
埁乽傕偆丄偦傫側尵偄曽偼幐楃偩傛両丂廐恖両乿=葵「真是的，这种说法太失礼了！秋人！」
廐恖乽傊丠丂側傫偱搟偭偰傞傫偩傛丠丠乿=秋人「啊？你为什么生气啊？？」
棳堦乽偼偭偼偭偼偭丄偄偄傛偄偄傛丅杔傕僼儔儞僋偵愙偟偰偔傟偨傎偆偑婥偑妝偩偟偹丅乧乧偦傟偵偟偰傕孨払偼枅擔堦弿偵捠偭偰偄傞偺偐偄丠乿=流一「哈哈哈，没关系没关系。我也更喜欢大家能随意一点，这样我也轻松。……话说回来，你们每天都一起上学吗？」
丂偍傑偗偵慒嶕岲偒偲棃偨傕傫偩丅=　而且还爱打听别人的事。
丂偁傫傑傝岲偒偵側傟偦偆偵側偄僞僀僾偩偲巚偭偨丅=　感觉不太可能喜欢上这种类型。
埁乽偊偊丄彫偝偄偲偒偐傜偢偭偲偦偆側偺偱乧乿=葵「嗯，因为从小就一直这样…」
丂側傫偩丠丂埁偺搝丄僐僀僣偺慜偩偲柇偵偐偟偙傑傞傫偩側丅=　怎么回事？葵那家伙，在这家伙面前显得特别拘谨啊。
丂埁偑愭惗埲奜偵偐偟偙傑偭偰傞偺偼媣偟傇傝偵尒偨偧丅=　葵除了对老师以外还会拘谨，这还是好久没见过了。
廐恖乽偁乕傑偀丄壌偼惓捈僀儎側傫偩偗偳側丅埁偑枅挬屇傃傕偟側偄偺偵墴偟偐偗偰棃傞傫偩傛丅偭偨偔柪榝偙偺忋側偄偲偼偙偺帠偩偤両乿=秋人「啊——说实话，我是真的不喜欢。葵每天早上都不请自来，简直烦死了！这就是所谓的麻烦至极啊！」
埁乽偱傕丄偦偆傗偭偰傢偨偟偑枅挬墴偟偐偗偰傞偐傜偙偦丄廐恖偼抶崗偟側偄偱嵪傓傫偱偟傚乿=葵「但是，正因为我每天早上都来打扰你，秋人才不会迟到不是吗」
廐恖乽偦傝傖偁乧偦偆偩偗偳傛乧乧乿=秋人「这倒是……是这样没错……」
埁乽偩偭偨傜傕偆偪傚偭偲姶幱偟側偝偄両乿=葵「那就再多感谢我一点啊！」
廐恖乽傊乕傊乕乿=秋人「好啦好啦」
埁乽壗傛両丂偦偺曉帠偼両両乿=葵「什么啊！那是什么敷衍的回答！！」
廐恖乽偄偰偭両丂偄偰偰偰偰偭両両丂傗傔傠埁両丂岥傪堷偭挘傞側両両乿=秋人「痛！痛痛痛痛！！住手啊葵！别扯我的嘴！！」
棳堦乽乧乧塡偳偍傝拠偑偄偄傫偩側丄孨払偼乿=流一「……你们的关系果然很好啊，和传闻一样」
廐恖乽傑丄傑偀丄偨傑偵寲壾偼偡傞偗偳丄拠偼偄偄曽偐傕側乧乿=秋人「嘛，嘛，虽然偶尔会吵架，但关系应该算是不错吧…」
埁乽亀偐傕側亁偭偰壗傛乕丠乿=葵「应该」是什么意思啊？」
廐恖乽偄傗丄懠恖偐傜尒偨傜偳偆尒偊傞偐傢偐傜側偄偐傜側丅尒傛偆偵傛偭偪傖拠埆偦偆偵傕尒偊傞傫偠傖側偄偐丠乿=秋人「不，毕竟不知道在别人眼里看起来是什么样子嘛。说不定有人看我们会觉得关系不好呢？」
丂惓捈側堄尒偩偭偨丅=　这倒是很诚实的看法。
丂恖偺尒曽側傫偰恖偦傟偧傟偩偐傜側丅=　每个人看事情的角度都不一样啊。
埁乽傆乕傫丅傑丄傢偨偟偼廐恖偺帠側傫偐側傫偲傕巚偭偰側偄偐傜暿偵偄偄偗偳偹乿=葵「哼——。算了，反正我对秋人也没什么特别的想法，无所谓啦」
廐恖乽側傫偩偀両丠丂壌傕偍慜偺帠側傫偐側傫偲傕巚偭偰側偄偧両丂梒側偠傒埲奜偺壗傕偺偱傕側偄両乿=秋人「什么啊！？我也根本没把你放在心上！你对我来说就只是个青梅竹马而已！」
埁乽僶僇偹丄傢偨偟偩偭偰廐恖偺帠側傫偐偙傟偭傐偭偪傕婥偵偐偗偰側偄傢傛両乿=葵「笨蛋，我也根本没在意秋人好吗！」
丂偦偆尵偭偰丄恖嵎偟巜偲恊巜偺娫偵彫偝側彫偝側寗娫傪嶌傞埁丅=　说着，葵用食指和拇指比出一个极小的缝隙。
丂偦傟偑丄壌傊偺憐偄偺戝偒偝側偺偐丠=　那就是她对我的在意程度吗？
丂侾儈儕偵傕枮偨側偄寗娫偑丄壌偺恎懱偺拞墱怺偔偵柊偭偰偄偨姶忣傪屇傃妎傑偡両=　不到１毫米的缝隙，唤醒了沉睡在我身体深处的情感！
廐恖乽乗乗偺栰榊偭両乿=秋人「——这混蛋！」
丂傑偝偵埁偵旘傃妡偐傜傫偲偡傞偦偺偲偒偩偭偨乗乗=　就在我正要扑向葵的那一刻——
丠乽僐儔乕僢丄偦偙偋両丂壗傗偭偰傞両丂巒嬈俆暘慜偩偧両丂憗偔峑幧偺拞偵擖傜傫偐乕両両乿=？「喂——那边！在干什么呢！还有５分钟就上课了！快点进校舍啊——！！」
丂挬偭傁傜偐傜暿偵暦偒偨偔傕柍偄寵側惡偑丄偳偙偐傜偲傕側偔暦偙偊偰偔傞丅=　一大清早就听到这种不想听的讨厌声音，不知从哪里传来。
丂惡偑暦偙偊偰偒偨曽妏乗乗峑栧偺慜偵偼丄庤偵帩偭偨抾搧偱搊峑偟偰偔傞妛惗払傪埿奷偡傞丄傓偝偄拞擭抝偑棫偭偰偄偨丅=　循着声音传来的方向看去——校门前站着一个粗犷的中年男子，手持竹刀威吓着前来上学的学生们。
惓揷乽傑偨偍慜偐両丂棃惒廐恖偭両両乿=正田「又是你小子！来栖秋人！！」
廐恖乽傗丄傗傋偭乿=秋人「糟、糟了」
丂懱堢嫵巘乽惓揷桾堦榊乮偟傚偆偩丂備偆偄偪傠偆乯乿偼壌偺揤揋偩偭偨丅=　体育老师「正田裕一郎」是我的天敌。
丂惓揷偼壗偐偵偮偗偰壌傪栚偺揋偵偟偰偔傞丅=　正田总是把我当眼中钉。
丂偦偺棟桼偺堦偮偲偟偰丄壌偼惓揷偺梊憐傪梱偐偵忋夞傞塣摦恄宱傪帩偪崌傢偣偰偄偨丅=　其中一个原因是，我的运动神经远远超出了正田的预想。
丂妛惗偵嫵偊傞恎偺懱堢嫵巘偲偟偰丄偦傟偩偗偱傕孅怞側偺偵丄壌偼惓揷偺摿暿庼嬈偲徧偟偨乽妛惗僀價儕乿偵崻傪偁偘偨偙偲偑堦搙傕柍偐偭偨偺偩丅=　作为一个教导学生的体育老师，仅此一点就已经够屈辱的了，而我从未在正田那所谓的「学生折磨」特别课程中认输过。
丂備偊偵惓揷偐傜偡傞偲壌偼丄乽僀價儕峛斻偺柍偄搝乿偲偄偆帠偵側傞丅=　因此在正田看来，我就是个「无法欺负的家伙」。
丂懱堢偺庼嬈偺偨傃偵惓揷偺僀價儕傪偙偲偛偲偔僋儕傾偡傞壌丅=　每次体育课我都能轻松应对正田的刁难。
丂偦偺偨傃偵惓揷偼丄=　每当这时，正田就会——
丂乽妛惗偺杮暘偼曌妛偩両乿=　「学生的本分是学习！」
丂偲晧偗惿偟傒傪尵偆巒枛偩丅=　说出这种输不起的话来。
丂傑偭偨偔偙偺惓揷偲偄偆抝丄壗偺偨傔偵嫵巘偵側偭偨偺偐乧乧丅=　真是的，这个叫正田的家伙，到底是为了什么才当上老师的啊……
丂偝傜偵丄惓揷偵偼柇側塡偑屻傪愨偨側偄丅=　而且，关于正田的奇怪传闻一直没有停止。
丂偦偺梫場偺堦偮偲偟偰丄岞嫟巤愝偱偁傞偼偢偺懱堢嫵姱幒傪丄懠偺嫵堳傪捛偄弌偟偰傑偱丄彑庤偵帺暘偺屄幒忬懺偵偟偰偟傑偭偰偄偨丅=　其中一个原因是，他把本应是公共设施的体育教官室赶走其他教职员，擅自变成了自己的私人空间。
丂曻壽屻偵側傞偲丄寛傑偭偰奜偐傜偼尒偊側偄傛偆偵埫枊傪挘傝丄枅擔拞偱壗傪偟偰偄傞偺傗傜乧乧=　每到放学后，他总是拉上窗帘不让外面看到，每天在里面做些什么呢……
惓揷乽傑偭偨偔丄偄偮傕偄偮傕帪娫僊儕僊儕偵側傜側偄偲偍慜偼妛墍偵棃傟傫偺偐両丠乿=正田「真是的，你小子每次都要掐点才来学校吗！？」
廐恖乽側傫偩傛丄偪傖傫偲娫偵崌偭偰傞偐傜偄偄偠傖偹乕偐両丂乧乧乧傫丠乿=秋人「啰嗦什么，反正我不是准时到了嘛！ ……嗯？」
埁乽乮偩偀乕傟偺偍偐偘偐側偀乣侓乯乿=葵「（这都要多亏谁呢～）」
丂帇慄傪姶偠丄怳傝岦偔偲丄埁偑摼堄枮柺偺婄偱壌傪尒偮傔偰偄偨丅=　感觉到视线，回头一看，葵正一脸得意地盯着我。
丂偄偐偵傕乽廐恖偑抶崗偟側偄偺偼偙偺埁條偺偍偐偘側偺傛傫侓乿偲偱傕尵偄偨偘偩丅=　她那表情分明就是在说「秋人不迟到全靠本葵大人的功劳哦」。
廐恖乽乮偁乕偼偄偼偄丄妋偐偵偦偺偲偍傝偩傛両丂偦偺偲乕傝偱偛偞偄傑偡偅両乯乿=秋人「（啊——是是是，确实如此！就是这么回事儿！）」
埁乽傆傆傫侓乿=葵「哼哼」
丂昁梫埲忋偵傆傫偧傝曉傞埁丅偭偨偔乧丅=　葵过分地挺起胸膛。真是的……
惓揷乽偦偆偄偆栤戣偠傖側偄両丂僆儗偼偍慜偺偦偺斀徣偺柍偄懺搙偑偩側偀乧乧乧傫丠乿=正田「问题不在这里！我是说你那毫无反省的态度实在是……嗯？」
廐恖乽丠乿=秋人「？」
丂惓揷偑僆儗偺屻傠偵帇慄傪堏偡丅=　正田的视线移到了身后。
丂堦弖婥傑偢偦偆側昞忣傪晜偐傋傞偑丄師偺弖娫偵偼撈摿偺寵枴側徫傒傪晜偐傋偰偄偨丅=　他脸上瞬间闪过一丝尴尬，但下一秒就浮现出那独特的讨厌笑容。
惓揷乽偁乕傫側傫偩偀乣丄崱擔偼嶀栘傕堦弿偐丠乿=正田「啊～原来如此～，今天冴木也一起啊？」
棳堦乽偼偄丄偍偼傛偆偛偞偄傑偡乿=流一「是的，早上好」
埁乽偍丄偍偼傛偆偛偞偄傑偡乿=葵「早、早上好」
惓揷乽恄嶈傕偐乧丅偍傑偊側偀丄偄偮傑偱傕偙傫側栰媴攏幁偲堦弿偵偄傞偲偍慜傑偱攏幁偑揱愼傞偧乿=正田「连神崎也是吗…。喂你啊，老是跟这种棒球笨蛋在一起的话，你也会被传染成笨蛋的哦」
埁乽偼偀乧丠乿=葵「啊…？」
丂乽懱椡攏幁乿偺傾儞僞偵尵傢傟偨偔偹乕傛乧丅=　「体力笨蛋」的你没资格说这种话吧…。
丂傫乧丠=　嗯…？
惓揷乽偩偄偨偄偍慜偼偩側偀乧乧乧乿=正田「总之你啊………」
丂愢嫵偟側偑傜惓揷偺帇慄偑塲偖丅=　正田一边说教一边眼神游移。
丂拲堄偟偰尒偰偄傞偲丄帇慄偼埁偵廤拞偟偰偄偨丅=　仔细观察后发现，他的视线集中在葵身上。
丂埁偺懱傪惓揷偼忋偐傜壓傑偱偹偭偲傝偲傑傞偱彟傔夞偡傛偆偵尒偮傔偰偄偨丅=　正田从上到下仔细打量着葵的身体，就像在舔舐一般。
丂偦偺摰偺拞偵恞忢偠傖側偄岝偑尒偊偨丅=　在那双眼睛里看到了异常的光芒。
丂壗偐乧僪僗崟偄壗偐偑塓姫偄偰偄傞傛偆側偦傫側乧乧=　仿佛有什么…漆黑的东西在里面翻腾……
埁乽乗乗乗偭両乿=葵「――唔！」
丂埁偼偦傟傪寵偭偰壌偺屻傠偵塀傟偰偟傑偭偨丅=　葵厌恶地躲到了我的身后。
丂偙傫側偵嫰偊偨埁偼惓捈捒偟偄丅=　葵如此害怕的样子实在是罕见。
廐恖乽偄丄峴偙偆偤丄埁乿=秋人「走、走吧，葵」
埁乽偆丄偆傫乿=葵「嗯、嗯」
丂壌偼埁傪庣傞傛偆偵偟偰丄峑幧偺拞偵擖偭偰峴偭偨乧丅=　保护着葵，走进了校舍……
惓揷乽傆傫丄彫柡偑乧乿=正田「哼，小丫头片子……」
丂乗乗俀帪尷栚偺媥傒帪娫丅=　——第二节课的休息时间。
埁乽偹丄廐恖乿=葵「那个，秋人」
廐恖乽偊丠乿=秋人「嗯？」
丂栚偺慜偵埁丅堄枴晄柧偵僯僐僯僐偟偰偄傞丅=　葵就在眼前。莫名其妙地笑嘻嘻的。
丂乧乧傑丄僐僀僣偑僯僐僯僐偟偰偄傞偺偼偄偮傕偺帠偩偗偳丅=　……不过，这家伙笑嘻嘻的也是常事。
埁乽崱挬丄柌尒偨偭偰尵偭偰偨偱偟傚乿=葵「今早不是说做梦了吗」
埁乽偦傟偭偰傢偨偟偵傕娭學偁傞柌側偺偐側丠乿=葵「那个梦和我也有关系吗？」
廐恖乽偦傫側偺傢偐傜偹乕傛丅壗偟傠撪梕傪妎偊偰側偄傫偩偐傜乿=秋人「这种事我哪知道啊。反正我根本不记得内容」
埁乽傆乕傫丅偦傟偠傖柌偵傢偨偟偑弌偰偒偨偐偳偆偐傕傢偐傜側偄傫偩乿=葵「嗯～那你也不知道梦里有没有出现我咯」
廐恖乽傑偀側乿=秋人「差不多吧」
埁乽乧乧偪傚偭偲偮傑傫側偄偐側乿=葵「……有点无聊呢」
廐恖乽側傫偱丠乿=秋人「为啥？」
埁乽廐恖偵偲偭偰丄傢偨偟偭偰偦偺掱搙偺懚嵼偩偭偨偺偐側偭偰乿=葵「在秋人心里，我就只是这种程度的存在吗」
廐恖乽側傫偩偦傝傖丠乿=秋人「啥玩意儿啊？」
埁乽傢偨偟偼廐恖偑柌偵弌偰偒偨傜偪傖傫偲妎偊偰傞傛乿=葵「如果我梦到秋人的话，我可是会好好记住的哦」
廐恖乽杮摉偐傛乿=秋人「真的假的」
埁乽偩偭偰廐恖偭偨傜丄傆傆傆傆傆偭乧乧乿=葵「因为秋人啊，嘿嘿嘿嘿嘿……」
丂埁偼壌偺婄傪僠儔僠儔尒側偑傜丄娷傒徫偄傪偟偰偄傞丅=　葵一边时不时瞥我一眼，一边暗自窃笑着。
丂偭偨偔丄偳傫側柌尒偰傫偩傛僐僀僣偼乧丅=　靠，这家伙到底做了什么梦啊…。
丂乗乗僶儞僢両=　——砰！
丂傑偭偨傝偲偟偨嬻婥偑堦弖偵偟偰搥傝偮偔丅=　悠闲的氛围瞬间凝固。
丂偙傫側帺屓庡挘偺寖偟偄尰傟曽傪偡傞偺偼乧乧=　如此强烈自我主张的出场方式，一定是……
恄揷乽乧乧乧乧乧乧乧乧乿=神田「……………………」
丂恄揷岝婸乮偐傫偩丂傒偮偰傞乯偩丅=　神田光辉（かんだ　みつてる）。
丂悽娫偐傜偼偄傢備傞乽晄椙乿偲屇偽傟丄婖傒寵傢傟傞懚嵼丅=　被世人称为所谓的「不良」，是令人厌恶的存在。
丂嫵巘丄妛惗栤傢偢廃傝偐傜宧墦偝傟傞懚嵼丅=　无论是老师还是学生，都是被周围人敬而远之的存在。
丂偦偟偰搝傜偼偦傟傪惗偒峛斻偲偡傞丅=　而他们以此为生存的意义。
丂恄揷偺屻傠偵偼忋栰柭奀乮偆偊偺丂側傞傒乯偲僕儑乕僕丒僒儞僪儅儞丅=　神田身后是上野鸣海（うえの　なるみ）和乔治·萨德马。
丂擇恖偲傕恄揷偺庢姫偒偩丅=　两人都是神田的跟班。
丂抂揑偵尵偆側傜丄擇恖偼恄揷偺扨側傞乽庤壓乿偲尵偭偰傕夁尵偱偼側偄偩傠偆丅=　简单来说，说彼此两个只是神田的「手下」也不为过吧。
柭奀乽僂儔丄戅偗僐儔傽両乿=鸣海「喂，让开啊混蛋！」
抝巕妛惗乽偆傢偭両乿=男子学生「哇！」
丂僪僈僔儍乕儞両=　砰咚哗啦！
丂晄岾偵傕僪傾偺嬤偔偵嵗偭偰偄偨抝巕妛惗偑媇惖偵側傞丅=　不幸坐在门边的男学生成了牺牲品。
丂偩偑丄偦傫側岝宨傕擔忢拑斞帠偩丅=　然而，这样的场景已是家常便饭。
丂搝傜偵偲偭偰偼扨側傞桱偝惏傜偟丅=　对他们来说不过是发泄而已。
柭奀乽側傫偩傛偦偺娽傢偀丠丂側傫偐暥嬪偁傫偺偐僋儔傽両両乿=鸣海「你那眼神是什么意思啊？有什么不满吗，混蛋！！」
丂搝傜偺婥偑嵪傓傑偱偦偺嬸峴偼懕偔丅=　在他们满意之前，这种愚蠢行为还会继续。
丂師偺庼嬈偑巒傑傞傑偱乧丅=　直到下一节课开始为止……
丂扤傕偦偺嬸峴傪拲堄偡傞搝偼嫃側偄丅=　没人敢指责这种愚蠢行为。
丂偨偩廔傢傞偺傪懸偭偰偄傞丅寵側帪娫偑夁偓嫀傞偺傪懸偭偰偄傞丅=　只是在等它结束。等着这讨厌的时间过去。
丂壌傕帺暘偵娭傢偭偰偙側偄尷傝偼丄嬌椡憡庤偵偟側偄帠偵偟偰偄傞丅=　只要不牵扯到自己，也尽量不去理会。
丂壌堦恖偺偨傔偵栰媴晹偵柪榝傪偐偗傞帠偼弌棃側偄偐傜側丅=　毕竟不能为了一己之私给棒球部添麻烦。
柭奀乽僂儔傽両丂僊儍乕僴僴僴僴僴僴乕僢両両乿=鸣海「呜啊！嘎哈哈哈哈哈哈！！」
抝巕妛惗乽傗丄傗傔偰偔偩偝偄両乿=男子学生「请、请住手！」
丂媇惖偵側傞妛惗偼塣偑埆偄偺偩丅=　成为牺牲品的学生只是运气不好罢了。
丂夨偟偄偑丄偦偆巚偆偟偐側偐偭偨乧丅=　虽然很不甘心，但只能这么想了……
丂乗乗偩偑丄埁偼堘偭偨丅=　——然而，葵却不同。
埁乽偁丄偁側偨払丄傗傔側偝偄傛両乿=葵「你、你们，住手！」
廐恖乽埁乧乧乿=秋人「葵……」
丂壌偑巭傔傞娫傕側偔丄埁偼恄揷偨偪偲抝巕妛惗偺娫偵妱偭偰擖偭偨丅=　还没来得及阻止，葵就冲到了神田他们和男学生之间。
柭奀乽偁偀傫丠丂傫偩僥儊僃偼丠丠乿=鸣海「啊？你丫是谁？？」
埁乽乧乧乧乧乧乧乧乧乿=葵「……………………」
丂柭奀偑嫸婥偺摰偱埁傪嵘傒偮偗傞丅=　鸣海用疯狂的眼神瞪着葵。
丂堦弖嫰傫偩昞忣傪尒偣偨埁偩偑丄偒傘偭偲怬傪寢傇偲丄堄巚偺偙傕偭偨娽偱柭奀傪嵘傒曉偡丅=　葵虽然一瞬间露出了畏缩的表情，但随即紧紧抿起嘴唇，用充满决心的眼神回瞪着鸣海。
柭奀乽乧乧僆僢丠乿=鸣海「……哦？」
丂柭奀偼埁偑斀峈揑側懺搙偵弌傞偲偼柌偵傕巚傢側偐偭偨偺偐丄柇偵戝偒側摰傪偝傜偵僊儑儘儕偲尒奐偒丄偐傜偐偆傛偆偵愩傪弌偟偨丅=　鸣海似乎做梦也没想到葵会表现出反抗的态度，他那本就很大的眼睛瞪得更圆了，还戏谑地吐了吐舌头。
丂偦偟偰愩側傔偢傝傪偟側偑傜埁偺慡恎偵帇慄傪攪傢偣傞丅=　然后一边舔着嘴唇，一边用目光在葵全身上下游走。
柭奀乽僸僢僸僢僸僢丄側傫偩僆僱乕僠儍儞恔偊偰傫偠傖傫偐傛乕丅姦偄偺偐側乕丠丂偠傖偁僆儗偑壏傔偰偁偘傛乕両乿=鸣海「嘿嘿嘿，怎么了姐姐大人，在发抖啊。是冷吗？那让我来给你暖和暖和吧！」
丂柭奀偺丄抝偵偟偰偼傗偗偵嵶偄榬偑埁偺尐偵怢傃傞両=　鸣海那对男生来说异常纤细的手臂伸向了葵的肩膀！
丂乗乗僈僢両=　——嘎！
廐恖乽偍偄丄埁偵庤傪弌偡傫偠傖偹乕傛両乿=秋人「喂，别对葵动手动脚的！」
柭奀乽傫偩偲僥儊僃両丂僟儃偑偀丄惓媊偺僸乕儘乕婥庢偭偰傫偠傖乗乗乗乗僀僨僨僨僨僨僨僢両両乿=鸣海「你说啥呢混蛋！白痴，别在这装什么正义的英雄——————哎呦呦呦呦呦！！」
埁乽偁丄廐恖両乿=葵「啊，秋人！」
丂壌偼埁偵怗傟傞慜偵柭奀偺庤庱傪媡庤偵庢傝丄偦偺傑傑擯傝偁偘傞丅=　在碰到葵之前，反手抓住了鸣海的手腕，然后顺势一扭。
丂壌傛傝恎挿偺掅偄柭奀偼丄偦偺傑傑僺儑儞僺儑儞偲旘傃挼偹傞丅=　身高比我矮的鸣海，就这样蹦蹦跳跳起来。
丂偦偆偟側偄偲尐偑奜傟偰偟傑偆偐傜偩丅=　不这样的话肩膀就要脱臼了。
岝婸乽乧乧偍偆丄偦偺曈偱曻偟偰偔傫偹乕偐丄栰媴晹偺僄乕僗偝傫傛偋乿=光辉「……喂，差不多该放开我了吧，棒球队的王牌先生」
丂儃僗奿偱偁傞恄揷偺椻偨偄摰偑壌傪幩敳偔丅=　老大神田那冰冷的眼神直射我。
丂晛捠偺恖娫側傜偦傟偩偗偱恔偊偁偑偭偰偟傑偄偦偆側乧乧晄巚媍側埿埑姶偺偁傞帇慄丅=　普通人光是这样就可能会吓得发抖……一种奇特而充满压迫感的眼神。
